Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Adjusted_Cost,Profit,Profit_Percentage
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134583590864,585.4053826067162,93.29192424762982,18.957401522548153
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981050438,146.90445108299537,60.713271272490985,70.44023693140313
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809447636283,996.0391118518622,268.1581670882339,36.84093793323789
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.65264164620277,143.4666660033479,-15.185975642854856,-9.57183913566328
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661261306,50.34614741077349,5.821110798160433,13.073792277380022
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258268814717,494.32277497593793,41.89694809446621,9.260512023210058
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.64047921471024,141.96880981445372,-10.671669400256519,-6.991375718393362
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689053783,415.331391701378,-4.893177204000324,-1.1644195903981325
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.35930066309265,287.073292637991,135.71399197489836,89.66346394331008
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.27196569085137,310.7668576873103,68.4948919964589,28.271901703997028
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485543701777,115.86948471114614,-3.179069659031555,-2.6703975330488587
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.56954081275165,542.8466591862291,70.27711837347744,14.871275506375401
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506052282,424.6963640801149,90.04701347488668,26.907870375971942
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855256604135,434.25489922558165,28.169373565168144,6.936808082326137
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.365137615676,682.1608650550793,130.79572743940332,23.72216132579882
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181945871103,517.6353739677729,-16.382820619337394,-3.067839407982005
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363000548165,491.62467534764824,-9.61162470716829,-1.917583524201487
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.60691863182956,155.04698795897812,-4.559930672851436,-2.856975569693176
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.8010509571677,354.222567631516,-5.578483325651746,-1.55043552841535
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695624527248,354.5926605971037,5.923098144378912,1.6987712098276457
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.5040759704239,488.84386123387526,-1.660214736548653,-0.33847113976862436
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.683239513509,551.224519750429,65.54128023691993,13.49465555010097
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275101964327,744.581750548537,319.6542403521043,75.22559323220486
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.442890652890384,58.55063456053898,18.107743907648597,44.77361438642484
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.424915281181,253.12153323832084,-5.303382042860136,-2.052194556043389
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929390993806,677.1502166243366,165.2208256305306,32.27414337547376
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.74670095471794,788.494505625457,346.7478046707391,78.4947129025154
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543386476,256.96476149222207,81.44670715357447,46.40360643266348
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834276725151,616.2275398077503,-42.35588786476478,-6.4313625404231285
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931126892,453.2963830663816,154.00538995369243,51.4567405961683
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992189699,812.0419066908393,317.2391074718694,64.11425076265151
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.51901195083727,344.0923339541035,120.57332200326621,53.94320641941016
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508212173,415.7274825489852,-18.843568272232062,-4.336130590526683
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284012724294,606.5943311569334,-23.834070115495933,-3.7806149068459285
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111184949,538.2961486478474,93.1707375293525,20.931345459527115
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.98552095653855,345.22352314363354,-16.76199781290501,-4.630571346779785
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.28219711727195,251.80164105043508,-15.480556066836868,-5.79183957397831
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.9547629602604,537.2271412552968,18.272378295036447,3.5209963563694426
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934491747886,579.976368623052,4.4829194482634875,0.7789696745795516
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162449335,410.0254934526175,60.582277207684,17.3368016293727
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662242834,256.891236724661,-22.34372949962244,-8.00176632666978
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483154802385,724.0267748354773,34.27845935523885,4.969705410787761
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359232648,87.32456270885574,-1.4383808834707423,-1.6204745192734797
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963494961118,982.1937322005926,360.39738270448083,57.960678443438574
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.621949405299,357.6729211911561,50.05097178585709,16.27028626618375
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.41053126646165,278.67255705576036,106.26202578929872,61.63314097389447
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453020895959,663.6209752463657,219.37567315676978,49.38165291222953
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118375435,702.6659133428268,145.76920150528326,26.17526704804942
93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245754797394,372.7996016194834,17.47502613974399,4.918046019234719
92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.99773906008016,693.5313475033919,218.53360844331172,46.00729445065221
61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306098094,865.3852411462219,283.41401053641255,48.698972669051294
53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972369916,977.2969334441774,313.85753620718583,47.30764219223338
55,21,Urban,Regular,20,3.56,Night,Premium,134,519.469492374694,625.6603244685265,106.19083209383246,20.442169107639696
57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501475396,366.11472091440646,-31.577229233133153,-7.940122806463225
34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122298927073,625.0062658393782,236.8940359466709,61.03750866396549
50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.1000759572743,890.9768423209598,299.87676636368553,50.73197899324262
35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633141081,675.4210792889168,88.62221597480868,15.102656381147423
43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429236178,897.5840046924179,248.67426176880008,38.32185669588122
50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391324597457,828.2143428454884,81.87521038574278,10.970242189485994
55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976877626003,696.4010156559121,141.3033278933118,25.455578542013896
93,67,Urban,Silver,21,4.88,Night,Premium,87,417.91314129159,415.5405172853032,-2.3726240062867987,-0.5677313709145486
94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093621671637,97.59008113729776,-0.21085507941860726,-0.2155961768621264
70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.0891119987856,185.72038667336034,-7.36872532542526,-3.8162303659419203
36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116460618,536.5995385041656,44.13552685810379,8.96218318788021
37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.81562882076287,641.2809975763292,232.46536875556637,56.86313153587537
68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.1617948077249,340.25255583135765,-23.90923897636725,-6.565553915119287
77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.64349787316,321.1651401651713,92.52164229201131,40.46545961404846
27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.9464280068869,950.2677234667373,282.3212954598504,42.267056701280765
90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.34270896598935,400.09271426684654,-10.249994699142803,-2.4979107646317065
46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192641684332,814.007792633924,103.58852846549087,14.58132312708951
96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.20306582722415,179.3676135099438,2.1645476827196433,1.2215069037406565
80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837977574499,135.02423162033728,60.69585184459228,81.65905408905293
80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.3027600530253,406.4207467199054,14.117986666880142,3.5987477286603586
64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.61019430479575,190.2124603534858,21.60226604869004,12.811957270887037
57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373063812,536.5344710564324,-50.72366624994879,-8.637371375151421
52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803272683639,960.0839450566199,396.103617788256,70.23358770451836
69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474982568331,336.2962389999157,-16.051259256917376,-4.555519575512154
67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369486595,394.106507440799,-21.201029507860483,-5.1048988091158485
25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.215843297379,335.147301166124,130.931457868745,64.11425076265151
80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520700676685,311.2555723577541,-8.3964977099144,-2.6267615623877894
73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.05333073474793,652.9627153836785,290.9093846489306,80.34987112494217
24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.4755378090192,656.8513818248937,269.37584401587446,69.52073556412371
37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987245396,478.69193344186465,129.83863471732502,37.218691980851176
27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985126943609,1247.0309814919879,514.732468797627,70.28997872790447
23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721333865543,499.09972706754996,155.42759368099564,45.225544518087055
42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532373392,976.3051965559921,376.5889433186529,62.794520122771615
74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.75453888236336,447.5344173814133,-37.220121500950086,-7.678137802848379
68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514565564086,604.2430864035391,23.091629847130548,3.9734271654344884
59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651642705413,972.996568234214,369.6314039636727,61.26164151530874
89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546414878244,369.9503099350032,0.0956684471788094,0.025866499009978977
81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421484817,690.9558043634204,-17.92433778506131,-2.5285427986085254
33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.83755050869485,331.00948174382785,125.171931235133,60.811028369600415
75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033083106,741.4216491131912,56.860945804880544,8.30619483854183
87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541298779704,433.80857531357105,-19.445554564399345,-4.2902101233219145
56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.5848379812361,380.0010761559161,-32.58376182531998,-7.897469520390339
75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377359072,446.7925221154959,6.3482843795886765,1.4413366859382417
99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.6407113776789,236.7328364344541,-4.907874943224812,-2.0310629426818374
33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.2925318937432,262.0469571178215,60.75442522407829,30.182155618246625
41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.05114029296504,229.01798578971844,8.966845496753393,4.0748916296527184
55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.9134159653358,881.8440926487448,178.93067668340893,25.455578542013903
93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.42166025583447,417.90674334671206,-13.514916909122405,-3.132646817294249
54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626810645626,441.7787545771973,-25.083926487365318,-5.372870333128309
34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263611668488,532.3910273923991,87.26466622555029,19.604470514124518
86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571357946,585.1444762332617,143.50661909746708,32.49418426856956
85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210116683382,745.2015535639724,75.68054189563418,11.303684361906804
74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115042604,663.3830654412118,308.9978539369514,87.19264910218655
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125242986789,461.785304907566,-27.927219391112885,-5.702778263861574
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.56858200356248,320.32630795634174,97.75772595277925,43.92251820664181
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556067980849,412.0072611845979,-0.2483456134870039,-0.060240687911041306
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.21573527678265,506.386468272535,34.17073299575236,7.2362546275006405
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.93988033973832,274.1906944238791,94.25081408414079,52.37905788655025
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533232364,310.43627375958977,1.5251204363533475,0.4937084400955578
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432341152,347.88984004464766,41.57559681053243,13.572857850673403
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.46487829301583,371.11966849672046,146.65479020370464,65.33529491070843
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.07378646994935,97.97703752602976,-3.096748943919593,-3.063849739952406
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221375331,882.98547119465,249.4888490571169,39.382822313289694
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509273644356,101.35987798935518,38.48478525291162,61.20831569065047
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706108972,103.75578860006401,11.724741538974286,12.739984943550041
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926414302,138.66685252056365,31.930959879133454,29.915859687802204
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257140985,786.7531724615297,226.0828467474313,40.32366907584784
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000694955284,566.4307084168062,243.53063892127778,75.41981619940478
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.33936093553586,491.1117094818362,198.77234854630035,67.99370016757062
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.7517170048808,268.64799496481305,25.896277959932263,10.667804240252435
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796305981407,532.6560544937773,89.8764238956366,20.29822911551388
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.54671645728143,473.3850253099056,-32.16169114737585,-6.3617644226344225
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171617926677,587.8967307812587,112.97956898859104,23.789321186483882
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.434678434942,590.3330692546584,-27.101609180283617,-4.389388890332512
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699465021,268.0143674068381,-26.841002539663975,-9.103107921871645
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322019467,715.081553733634,-2.3857682858330236,-0.33252640400649364
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.9772170141728,373.49727839392534,106.52006137975252,39.89855860026354
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711770715268,350.9743322893,-32.39684478222682,-8.450516554138977
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179135411,257.12336528807697,-9.310252625464159,-3.494398604190173
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.39439243010713,318.5452423065652,-17.849150123541904,-5.306018924572422
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556145701,759.8658785338697,-4.993477080700359,-0.6528621300171015
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941797749441,710.7157788745136,122.02159909956947,20.727502206021118
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426676647312,487.33240331141064,182.08973564667946,59.654089986751465
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.37380365626416,263.57164727615555,7.197843619891387,2.807558150341277
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193485856391,717.1126489466061,256.093300360967,55.54936059552282
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844259253,849.9846551954636,268.2373707695383,46.108916698122265
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909334413,473.1210216088696,0.5744306754283457,0.12156064321480946
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718398938,947.7663508626874,374.28277902279365,65.26477782475808
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850221961644,295.7088631804844,103.32384098431999,53.70680097901091
94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811402852,737.4492066373612,-6.586774502924072,-0.8852763401078261
86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.25746306035046,523.8192279103555,111.56176485000503,27.061187448697194
79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.5605649707772,182.5106369940693,-7.049927976707892,-3.7190899793924515
73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434721850994,524.3403111782986,167.29683899319923,46.85615394936244
74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740953777763,493.702413805628,76.52831842785167,18.344456013873696
26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.84471031916905,459.3287231874223,144.48401286825327,45.890563866162715
99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011362719,675.4622679585482,45.50766682227629,7.223959748875945
80,42,Urban,Gold,85,4.22,Night,Economy,131,473.5617540035448,443.63129286834,-29.930461135204837,-6.320286822609579
78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.88095784682014,308.90179324500104,-8.979164601819093,-2.824694081281193
63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.49921949173307,236.3696926850186,103.87047319328553,78.39327174283184
25,8,Rural,Regular,30,4.44,Night,Economy,115,430.7858509781543,684.6881655519699,253.90231457381554,58.939334705932865
100,50,Urban,Regular,20,4.14,Evening,Economy,127,350.2265835541767,340.7506526148295,-9.475930939347222,-2.705657247140803
46,8,Urban,Silver,32,4.81,Afternoon,Economy,112,466.42747932165264,763.2560241312276,296.82854480957496,63.6387344161769
59,29,Urban,Regular,90,4.3,Night,Economy,145,651.7303890276737,681.9805987825198,30.250209754846082,4.641522056379299
21,11,Rural,Gold,18,4.2,Morning,Premium,49,266.34807324582846,385.60173248658816,119.2536592407597,44.77361438642487
64,7,Rural,Silver,48,4.67,Evening,Economy,64,266.38537677090085,459.87400265781804,193.4886258869172,72.6348526455801
52,22,Suburban,Gold,72,3.6,Morning,Premium,101,303.803226426852,357.49907793844267,53.69585151159066,17.67454945858491
100,56,Suburban,Silver,67,4.2,Evening,Economy,169,461.9661913503604,454.62285789457843,-7.343333455781988,-1.589582439857102
83,72,Rural,Regular,25,4.62,Night,Premium,45,201.0575405594342,199.2456755183525,-1.8118650410816883,-0.9011674150794095
89,10,Rural,Silver,36,4.12,Afternoon,Premium,13,94.21444738997974,152.32292363983572,58.10847624985598,61.67682118786823
100,37,Rural,Silver,47,4.7,Afternoon,Economy,142,546.8574476673242,527.0183230976384,-19.83912456968585,-3.6278420737089063
71,7,Urban,Gold,31,4.83,Morning,Premium,60,292.74683013160404,509.2688291010452,216.52199896944114,73.96220101584153
94,26,Suburban,Regular,0,3.94,Afternoon,Premium,40,150.90603765991335,172.41413767000518,21.508100010091823,14.252643793194784
52,23,Urban,Regular,41,4.23,Evening,Economy,134,534.90663340905,617.4987077565496,82.59207434749965,15.440465529680658
27,15,Urban,Silver,31,4.95,Afternoon,Economy,103,315.2654030422818,416.3969284921053,101.13152544982353,32.078218692540865
88,62,Urban,Regular,62,4.82,Afternoon,Economy,162,601.2360266422271,590.8023653787179,-10.43366126350918,-1.7353686075298773
48,38,Suburban,Silver,64,4.97,Night,Premium,152,701.4695729515377,630.6876243461237,-70.78194860541396,-10.090523001245568
53,35,Suburban,Regular,1,3.67,Morning,Premium,88,392.0078846224547,370.4992989923885,-21.508585630066193,-5.4867737292532395
31,12,Suburban,Gold,34,4.7,Night,Economy,105,331.8375249153692,474.8662248319028,143.02869991653358,43.10202709986195
56,34,Suburban,Silver,1,4.56,Afternoon,Economy,121,307.5259290756184,296.1316728941903,-11.394256181428148,-3.705136739421534
48,35,Rural,Gold,47,4.26,Morning,Economy,26,68.27174499943663,64.12982998183799,-4.141915017598649,-6.066807018969307
93,66,Suburban,Silver,22,3.91,Night,Economy,180,765.4397485645513,760.0706225174794,-5.369126047071973,-0.701443328118357
49,18,Rural,Silver,62,4.92,Afternoon,Economy,62,168.36628924698925,214.18338529495495,45.81709604796569,27.212749210593536
72,33,Rural,Gold,63,4.25,Evening,Economy,132,351.7736189685264,350.2038434381012,-1.5697755304252041,-0.44624595074187573
62,11,Suburban,Gold,37,4.23,Morning,Premium,71,363.3457529659053,555.513968131222,192.16821516531667,52.88852658843348
39,15,Suburban,Regular,53,4.6,Evening,Premium,38,201.7146762833217,270.9820892075672,69.26741292424549,34.339302524004154
67,56,Urban,Gold,49,4.22,Afternoon,Premium,23,121.43999901863724,115.65526899802778,-5.784730020609459,-4.763447025161524
88,15,Urban,Regular,39,4.51,Afternoon,Economy,137,598.7750233051204,850.3422687076758,251.5672454025554,42.01365047158341
29,16,Urban,Silver,75,4.11,Morning,Premium,80,371.1242881043308,480.3669815998313,109.24269349550053,29.435608769639494
100,24,Urban,Silver,88,4.49,Night,Economy,56,173.66696747925593,206.8744103801117,33.20744290085577,19.121335152479304
98,43,Suburban,Gold,62,4.98,Morning,Economy,130,538.5185280064754,514.6201569032464,-23.89837110322901,-4.437799232590497
35,10,Rural,Gold,40,3.54,Night,Economy,75,281.9625670059949,428.469099723018,146.5065327170231,51.95956834720836
58,14,Rural,Gold,10,3.77,Morning,Economy,95,258.01445968829404,363.54873525907925,105.53427557078521,40.90246558207654
22,7,Urban,Gold,53,4.43,Morning,Premium,98,476.2019961536034,777.9202209547528,301.71822480114946,63.35929442509675
84,37,Suburban,Regular,94,3.83,Night,Economy,28,124.64550323605349,118.32401354992864,-6.321489686124849,-5.0715746031794025
91,14,Suburban,Silver,19,4.78,Night,Premium,19,111.11271494112724,162.07936443241908,50.96664949129185,45.869322442797284
56,29,Urban,Gold,67,4.49,Afternoon,Economy,125,421.8171879075184,439.84840571898405,18.031217811465638,4.2746522257454584
97,21,Rural,Regular,36,3.72,Evening,Premium,23,134.0510144913575,168.6784059628294,34.627391471471896,25.83150273264391
57,47,Urban,Gold,26,3.8,Morning,Economy,30,132.4032477391118,122.46128194603439,-9.941965793077415,-7.508853417755376
94,27,Suburban,Silver,100,3.6,Night,Premium,172,547.9814624298182,615.1964476080951,67.21498517827695,12.265923171969598
84,6,Suburban,Gold,24,3.74,Morning,Economy,68,281.96824577029594,514.2721375375677,232.30389176727175,82.3865436097783
40,11,Rural,Silver,1,4.24,Night,Premium,35,182.46632143825187,271.52706690103764,89.06074546278577,48.80941576548672
65,36,Suburban,Silver,20,4.39,Night,Premium,87,313.7742265682814,296.2841075780384,-17.49011899024299,-5.574109505911541
35,22,Urban,Silver,28,4.88,Afternoon,Premium,116,422.8866610257602,486.7537803221884,63.8671192964282,15.102656381147414
40,30,Urban,Regular,67,4.03,Evening,Premium,143,529.6967147126813,532.48405446488,2.7873397521987044,0.5262142797526347
61,45,Urban,Silver,6,4.99,Evening,Economy,10,25.993449448411635,24.04069051328633,-1.9527589351253063,-7.512504021449266
50,14,Urban,Gold,98,3.52,Night,Premium,109,351.5699575243088,490.6362387790523,139.0662812547435,39.555792034684295
98,25,Suburban,Silver,30,4.76,Afternoon,Economy,60,154.68715967826247,180.59402659102062,25.906866912758147,16.74791040616588
54,37,Suburban,Regular,41,4.69,Afternoon,Premium,16,106.59208227583191,97.94032290116574,-8.65175937466617,-8.116699842937416
37,13,Rural,Regular,31,4.66,Afternoon,Economy,35,132.1665679180113,185.9007351462913,53.73416722828,40.65639902340027
78,41,Urban,Silver,12,4.99,Afternoon,Economy,22,76.224961221763,71.06936388672811,-5.155597335034884,-6.763660161184718
84,21,Rural,Gold,88,3.5,Afternoon,Economy,146,598.9400399823005,744.3929877263967,145.45294774409615,24.28505994496452
44,32,Suburban,Silver,51,4.2,Afternoon,Premium,168,563.1508995670627,551.1082269683354,-12.042672598727222,-2.1384450611701675
25,11,Urban,Silver,92,3.91,Night,Economy,115,310.1546162756803,451.8039951934944,141.6493789178141,45.67056928532359
38,13,Urban,Gold,38,4.46,Evening,Premium,28,145.13756861567325,204.4234090027943,59.285840387121056,40.84803194141344
85,25,Urban,Silver,21,4.03,Morning,Economy,73,323.5576857599395,373.1305430516622,49.5728572917227,15.321180572574253
31,13,Suburban,Gold,87,4.04,Evening,Economy,11,31.5656761621252,44.027288642576465,12.461612480451265,39.4783638292647
67,6,Rural,Regular,25,4.45,Evening,Premium,31,144.46263762346956,258.86076666861527,114.39812904514571,79.1887306829572
77,11,Rural,Silver,70,3.82,Night,Premium,63,252.4930471020809,392.34171462672504,139.84866752464413,55.38713605373238
32,11,Suburban,Silver,30,3.53,Afternoon,Premium,32,146.51277441611944,215.633057689453,69.12028327333357,47.17696702474628
71,30,Rural,Regular,60,4.83,Evening,Premium,156,501.801349985356,523.4330710994807,21.631721114124673,4.31081365459777
65,38,Urban,Regular,13,4.77,Morning,Premium,132,610.7325514755008,560.2360277535577,-50.49652372194316,-8.268189340808176
64,29,Urban,Silver,66,3.79,Night,Premium,37,194.2623993646844,204.43996226587362,10.17756290118922,5.239080200014986
48,38,Urban,Silver,45,4.17,Afternoon,Economy,87,318.2101259853132,286.1010600304727,-32.1090659548405,-10.090523001245561
76,42,Rural,Gold,95,3.93,Morning,Economy,180,512.6251102173163,478.26338837373174,-34.361721843584576,-6.703089871859314
76,53,Urban,Regular,77,3.67,Afternoon,Premium,179,555.8919187631545,531.605596304392,-24.286322458762584,-4.368892879896336
71,14,Suburban,Silver,8,4.44,Night,Economy,76,242.1588607696964,346.196957228946,104.03809645924963,42.962746078572934
76,9,Urban,Silver,64,4.16,Evening,Economy,10,41.40499127744981,68.02509456799295,26.620103290543142,64.29201521180157
51,14,Rural,Gold,16,3.51,Night,Premium,30,180.88655372559683,252.74862000685135,71.86206628125453,39.72769937906418
88,38,Rural,Gold,29,3.73,Evening,Premium,167,537.8971058809161,505.3079589104599,-32.58914697045623,-6.058620991664355
60,24,Rural,Gold,5,3.79,Afternoon,Premium,154,556.6629286327259,636.6907173881498,80.0277887554239,14.376346014631864
73,55,Rural,Regular,55,4.2,Afternoon,Economy,52,158.5563431447304,151.71310559148657,-6.843237553243824,-4.315965805920051
23,10,Urban,Silver,80,3.88,Afternoon,Economy,22,59.4454065021933,88.7596923923089,29.314285890115606,49.31295387648502
74,27,Suburban,Silver,51,3.75,Morning,Premium,111,334.1449975015087,367.78768280279064,33.642685301281915,10.068289381207933
